PLAYER NAME,TEAM,ROLE,MATCHES,NOT OUTs,RUNS,HIGHEST RUN,BATTING AVG,BALLS FACED,BATTING S.R,100s,50s,4s,6s,CATCHES,BALLS BOWLED,RUNS CONCEEDED,WICKETS,BEST BOWLING,BOWLING AVG,ECONOMY,BOWLING S.R
Anureet Singh,punjab,Bowler,23,4,36,15,9,47,76.59,0,0,2,1,5,412,623,18,3/23,34.61,9.07,22.88
George Bailey,punjab,Batsman,40,10,663,61*,24.55,544,121.87,0,2,59,19,11,0,0,0,0/0,-,-,-
Virender Sehwag,punjab,Batsman,104,5,2728,122,27.55,1755,155.44,2,16,334,106,34,136,235,6,2/18,39.16,10.36,22.66
Rishi Dhawan,punjab,Batsman,26,10,153,25*,21.85,135,113.33,0,0,13,4,6,488,640,18,2/14,35.55,7.86,27.11
Thisara Perera,punjab,Bowler,37,8,422,40,19.18,307,137.45,0,0,23,26,12,698,1016,31,3/20,32.77,8.73,22.51
Karanveer Singh,punjab,Bowler,9,3,12,5*,12,17,70.58,0,0,1,0,2,204,321,12,4/1,26.75,9.44,17
Cheteshwar Pujara,punjab,Batsman,30,3,390,51,20.52,391,99.74,0,1,50,4,6,0,0,0,0/0,-,-,-
Adam Gilchrist,punjab,Batsman,80,4,2069,109*,27.22,1495,138.39,2,11,239,92,51,1,0,1,1/1,0,0,1
Azhar Mahmood,punjab,Batsman,23,2,388,80,20.42,303,128.05,0,2,39,13,8,537,700,29,3/20,24.13,7.82,18.51
Rajagopal Sathish,punjab,Bowler,34,8,270,27*,15.88,231,116.88,0,0,22,6,6,139,232,3,1/11,77.33,10.01,46.33
Luke Pomersbach,punjab,Batsman,17,5,302,79*,27.45,246,122.76,0,1,25,13,7,0,0,0,0/0,-,-,-
Manpreet Gony,punjab,Bowler,44,7,99,42,9.9,71,139.43,0,0,6,8,6,888,1287,37,3/31,34.78,8.69,24
Nitin Saini,punjab,Bowler,10,0,140,50,14,141,99.29,0,1,16,0,11,0,0,0,0/0,-,-,-
Siddharth Chitnis,punjab,Bowler,11,1,99,38,14.14,89,111.23,0,0,10,2,2,36,60,2,2/1,30,10,18
Paul Valthaty,punjab,Batsman,23,1,505,120*,22.95,418,120.81,1,2,61,20,3,151,205,7,4/29,29.28,8.14,21.57
Ryan McLaren,punjab,Bowler,18,5,159,51*,19.87,171,92.98,0,1,14,1,5,354,542,12,2/28,45.16,9.18,29.5
Sunny Singh,punjab,Bowler,6,1,43,20,10.75,31,138.7,0,0,6,1,1,0,0,0,0/0,-,-,-
Ryan Harris,punjab,Bowler,37,9,117,17,9.75,112,104.46,0,0,6,3,20,832,1047,45,4/1,23.26,7.55,18.48
Adrian Barath,punjab,Batsman,3,1,42,33,21,42,100,0,0,5,1,0,0,0,0,0/0,-,-,-
Shanthakumaran Sreesanth,punjab,Bowler,44,10,34,15*,8.5,55,61.81,0,0,6,0,3,880,1194,40,3/29,29.85,8.14,22
Simon Katich,punjab,Batsman,11,1,241,75,24.1,186,129.56,0,2,26,8,2,0,0,0,0/0,-,-,-
Karan Goel,punjab,Bowler,22,2,218,38,14.53,231,94.37,0,0,17,9,9,66,93,0,0/0,-,8.45,-
Wilkin Mota,punjab,Bowler,12,2,56,25,9.33,75,74.66,0,0,2,0,5,72,97,4,1/6,24.25,8.08,18
Ramesh Powar,punjab,Batsman,27,7,67,28*,22.33,64,104.68,0,0,6,1,5,426,527,13,2/11,40.53,7.42,32.76
Ramnaresh Sarwan,punjab,Bowler,4,0,73,31,18.25,75,97.33,0,0,6,1,1,0,0,0,0/0,-,-,-
Sanju Samson,rajasthan,Batsman,114,11,2861,119,28.89,2122,134.82,3,13,217,126,56,0,0,0,0/0,-,-,-
Jos Buttler,rajasthan,Batsman,65,8,1968,124,35.14,1312,150,1,11,194,90,34,0,0,0,0/0,-,-,-
Shivam Dube,rajasthan,Bowler,21,3,314,46,19.62,261,120.3,0,0,20,17,4,82,112,4,2/15,28,8.19,20.5
David Miller,rajasthan,Batsman,86,26,1952,101*,33.65,1413,138.14,1,10,137,90,52,0,0,0,0/0,-,-,-
